stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
WAY77THi,6294,WAYNE AVE & 77TH ST,ANTHONY WAYNE AVE & 77TH ST,39.199762,-84.473713,1,,,,,0
VINSEYi,6274,VINE ST & SEYMOUR AVE,VINE ST & E SEYMOUR AVE,39.194701,-84.479857,1,,,,,0
VIN69THi,6024,VINE ST & 69TH ST,VINE ST & W 68TH ST,39.192407,-84.482275,1,,,,,0
VIN66THi,6020,VINE ST & 66TH ST,,39.189909,-84.484857,1,,,,,0
VINWALi,6012,VINE ST & WALNUT ST,,39.186497,-84.488709,1,,,,,0
VINSPRi,5746,VINE ST & SPRING GROVE AVE,,39.177228,-84.496605,1,,,,,0
VIN5350i,5744,VINE ST 5350,,39.174894,-84.496878,1,,,,,0
VINRAIi,5741,VINE ST & RAILROAD AVE,,39.172637,-84.496818,1,,,,,0
PADNORi,6281,PADDOCK RD & NORTH BEND RD,,39.196915,-84.476516,1,,,,,0
PADSEYi,6266,PADDOCK RD & SEYMOUR AVE,PADDOCK RD & E SEYMOUR AVE,39.191517,-84.475625,1,,,,,0
PADTOWi,6260,PADDOCK RD & TOWANDA TER,,39.185395,-84.476919,1,,,,,0
PADELMi,6258,PADDOCK RD & ELM PARK DR,,39.183751,-84.47707,1,,,,,0
PADLOIi,6254,PADDOCK RD & LOIS DR,,39.180979,-84.477395,1,,,,,0
PADLAIi,6248,PADDOCK RD & LAIDLAW AVE,,39.177847,-84.477709,1,,,,,0
PADFRAi,6230,PADDOCK RD & FRANKLIN AVE,,39.174519,-84.478081,1,,,,,0
TENPADi,6221,TENNESSEE AVE & PADDOCK RD,,39.168521,-84.479535,1,,,,,0
TENFISi,6002,TENNESSEE AVE & FISCHER PL,,39.168951,-84.483709,1,,,,,0
ROSIMWi,6006,ROSS AVE & IMWALLE AVE,,39.16956,-84.48878,1,,,,,0
ROSGREi,5732,ROSS AVE & GREENLEE AVE,,39.169878,-84.492495,1,,,,,0
ROSTOWi,5737,ROSS AVE & TOWER AVE,,39.170208,-84.49547,1,,,,,0
VINWASi,5726,VINE ST & WASHINGTON AVE,,39.168004,-84.497628,1,,,,,0
VINCHUi,5728,VINE ST & CHURCH ST,VINE ST & BAKER AVE,39.166399,-84.499826,1,,,,,0
VINBERi,5434,VINE ST & BERTUS ST,VINE ST & BAKER AVE,39.164568,-84.502663,1,,,,,0
VINCLINi,5413,VINE ST & CLINTON SPRINGS AVE,,39.157794,-84.50518,1,,,,,0
VINGLENi,5410,VINE ST & GLENWOOD AVE,VINE ST & FERRARS CT,39.155795,-84.505867,1,,,,,0
VIN3766i,5405,VINE ST 3766,VINE ST & FERRARS CT,39.152832,-84.507674,1,,,,,0
VINEHRi,5404,VINE ST & EHRMAN AVE,,39.15189,-84.508968,1,,,,,0
VINWOOi,5018,VINE ST & WOOLPER AVE,,39.149927,-84.511069,1,,,,,0
VINRUTi,5003,VINE ST & RUTHER AVE,,39.144994,-84.512745,1,,,,,0
VIN3460i,4990,VINE ST 3460,VINE ST & FERRARS CT,39.143239,-84.51028,1,,,,,0
VINERKi,5371,VINE ST & ERKENBRECHER AVE,,39.142511,-84.509537,1,,,,,0
VINSHIi,5355,VINE ST & SHIELDS ST,,39.140649,-84.509391,1,,,,,0
VINVAi,5351,VINE ST & VETERANS AFFAIRS HOSPITAL,,39.139296,-84.509587,1,,,,,0
VINNIXi,5347,VINE ST & NIXON ST,VINE ST & GOODMAN DR,39.137868,-84.509609,1,,,,,0
VINMLKi,5330,VINE ST & MARTIN LUTHER KING DR,,39.135959,-84.509315,1,,,,,0
JEFUNIi,4961,JEFFERSON AVE & UNIVERSITY AVE,,39.132481,-84.511195,1,,,,,0
JEFCHAi,4955,JEFFERSON AVE & CHARLTON ST,JEFFERSON AVE & W CHARLTON ST,39.130631,-84.511365,1,,,,,0
JEFCORi,4953,JEFFERSON AVE & CORRY ST,JEFFERSON AVE & W CORRY ST,39.129382,-84.511469,1,,,,,0
VININWi,4924,VINE ST & INWOOD PARK,,39.12514,-84.51376,1,,,,,0
VINTHIi,4915,VINE ST & THILL ST,VINE ST & POLK ST,39.123701,-84.514482,1,,,,,0
RACCOUi,4801,RACE ST & COURT ST,,39.106138,-84.516008,1,,,,,0
BEEFORi,9008,BEECHMONT AVE & FOREST RD,,39.072878,-84.347873,2,,,,,0
SALALNi,8905,SALEM RD & ALNETTA DR,,39.072434,-84.36514,2,,,,,0
SALAYEi,8703,SALEM RD & AYERSHIRE AVE,,39.073918,-84.37096,1,,,,,0
SALBROi,8711,SALEM RD & BROOKE AVE,,39.074484,-84.378951,1,,,,,0
SALLERi,8413,SALEM RD & LE ROY RD,,39.075193,-84.388365,1,,,,,0
SALWAYi,7910,SALEM RD & WAYSIDE AVE,,39.08206,-84.409327,1,,,,,0
KELWILi,7203,KELLOGG AVE & WILMER AVE,,39.102004,-84.432627,1,,,,,0
4THSYC,1124,4TH ST & SYCAMORE ST,E 4TH ST & SYCAMORE ST,39.10077,-84.507692,1,,,,,0
ERKDURw,5364,ERKENBRECHER AVE & DURY AVE,,39.142135,-84.50576,1,,,,,0
PARCROw,5824,PARK AVE & CROSS LN,,39.124532,-84.486363,1,,,,,0
PARCYPw,5822,PARK AVE & CYPRESS ST,,39.122819,-84.486561,1,,,,,0
